"gene","HR","z","pvalue","lower","upper","cancer"
"ATM",1.01008902383059,0.215872787882964,0.829086909110062,0.922098388529853,1.1064761079235,"ACC"
"ATM",0.993964804476342,-0.35446620047181,0.722989529900035,0.961245699085872,1.02779761041036,"BLCA"
"ATM",1.01656730807964,2.25287027369899,0.0242673296627731,1.00213862918582,1.03120372946392,"BRCA"
"ATM",1.01544007071444,0.582854843970629,0.559991021146164,0.964445996478147,1.06913040333814,"CESC"
"ATM",0.954926078405505,-1.32155538928761,0.186316246753796,0.891791694464971,1.02253006041506,"CHOL"
"ATM",1.09613235875967,2.8870245071344,0.00388903937291558,1.02991295040219,1.1666094182531,"COAD"
"ATM",1.01609802587037,0.828054043345152,0.407639894365585,0.978406566821012,1.05524148466446,"DLBC"
"ATM",0.990728329155747,-0.732451204105087,0.463893215499306,0.966338890732963,1.01573333289654,"ESCA"
"ATM",0.973978206028493,-1.48987892492468,0.136256073905201,0.94077451899928,1.00835378367556,"GBM"
"ATM",0.972093731151175,-1.75715445203188,0.0788914864916912,0.941884320651529,1.00327205944967,"HNSC"
"ATM",1.07052779608945,1.53196191394244,0.125531833480915,0.981139760914973,1.16805964639674,"KICH"
"ATM",0.994464647648443,-0.823478861672761,0.410235733059755,0.981412878498728,1.00768999173453,"KIRC"
"ATM",0.990762275473076,-0.422289461173434,0.67281374960526,0.948992112316642,1.03437096447969,"KIRP"
"ATM",1.00110611090132,0.387092184387114,0.698687963436118,0.995518096904349,1.00672549138025,"LAML"
"ATM",0.989664701803634,-0.913569399295513,0.360943151827792,0.967850430077994,1.0119706429403,"LGG"
"ATM",1.00950957260122,0.417239426258945,0.676503289774451,0.96561014996856,1.05540478961068,"LIHC"
"ATM",0.98582112820092,-1.06173500503162,0.288356003187894,0.960172907656852,1.01215446619814,"LUAD"
"ATM",0.996049315795852,-0.317746183094728,0.750677476183671,0.972022909315341,1.02066960561269,"LUSC"
"ATM",0.994014112091936,-0.399907540308441,0.689224618325742,0.9651911402758,1.02369780845231,"MESO"
"ATM",1.0016060345399,0.102789122485875,0.918130338533052,0.971422041879917,1.03272790319366,"OV"
"ATM",0.998644478780218,-0.106045121992479,0.915546551824616,0.973919462967031,1.02399719167741,"PAAD"
"ATM",0.951813324600339,-0.795411712443073,0.426374049040393,0.842755299378819,1.07498416866024,"PCPG"
"ATM",1.01719175304623,0.343838731323298,0.730967570728728,0.923006809966745,1.12098746324802,"PRAD"
"ATM",0.84631082314987,-2.05493053397484,0.0398857147548308,0.721786779242234,0.992317994702752,"READ"
"ATM",1.01361782993991,1.04605272469832,0.295536690297062,0.988252259002994,1.03963446155804,"SARC"
"ATM",0.993356563206175,-1.3531062405454,0.176021692285437,0.983811783827935,1.00299394445692,"SKCM"
"ATM",1.0033216051049,0.424153651716923,0.671453759778343,0.988064589254738,1.01881420933176,"STAD"
"ATM",1.0694203603818,0.857081817603649,0.391399669051534,0.917259336989336,1.24682285704816,"TGCT"
"ATM",1.03169352008074,0.919893568461117,0.357628380157974,0.965337116079324,1.10261120353434,"THCA"
"ATM",0.980984948787359,-0.536310375079149,0.591744061342282,0.914517678042548,1.05228306992067,"THYM"
"ATM",1.03204266270701,0.929498816897418,0.35263063807517,0.965638224568345,1.10301356196158,"UCEC"
"ATM",0.960600326060234,-1.03769767442436,0.299410827999258,0.890369142282505,1.03637125615282,"UCS"
"ATM",1.0463556364946,2.1113676493445,0.0347407234702281,1.00325464811518,1.09130829354336,"UVM"
"TP53",1.01798774996039,2.06946000398378,0.0385029407984332,1.00094372607722,1.03532199870092,"ACC"
"TP53",1.00007846255683,0.054719674963373,0.956361794491139,0.997271904870629,1.00289291855642,"BLCA"
"TP53",1.00100035470808,0.817291472305541,0.413761878962994,0.998603058624419,1.00340340585975,"BRCA"
"TP53",0.995776081356931,-1.49924665617968,0.133809655378501,0.990281052070846,1.00130160233706,"CESC"
"TP53",0.998184304929902,-0.459392129498439,0.645952599123601,0.990474734432968,1.0059538845065,"CHOL"
"TP53",0.996337787539514,-1.96802990506461,0.04906459694107,0.992703914091294,0.999984963077159,"COAD"
"TP53",1.00611818556252,1.02557593255915,0.305091516738258,0.99445820120714,1.01791488278829,"DLBC"
"TP53",0.998221352289406,-1.18857190133204,0.234608170399018,0.995295255852668,1.00115605123912,"ESCA"
"TP53",0.998282554296096,-0.97796759735964,0.328090350244409,0.994849461936769,1.00172749379773,"GBM"
"TP53",0.997844133352318,-1.85251587204588,0.0639517805230696,0.995568283619529,1.00012518563333,"HNSC"
"TP53",0.997896458471601,-0.0848911926615934,0.932347893750102,0.950541572510934,1.04761051029013,"KICH"
"TP53",1.0108162572893,2.83824034488425,0.004536301067113,1.00333460138084,1.01835370233835,"KIRC"
"TP53",1.00190455492118,0.399417902302525,0.689585305073976,0.99259344873244,1.01130300472332,"KIRP"
"TP53",0.997873224417388,-1.19879834810904,0.230606365051076,0.994405811323976,1.0013527281014,"LAML"
"TP53",1.00395697861128,2.37756727975013,0.017427263442763,1.00069388516479,1.00723071245341,"LGG"
"TP53",1.00213824776178,0.563270849270416,0.573250464937152,0.994717636735717,1.00961421667632,"LIHC"
"TP53",0.999667761254316,-0.180203212297327,0.856993036668087,0.996061317920434,1.00328726245249,"LUAD"
"TP53",0.999337935104352,-0.717764744591195,0.472902354854784,0.997532299689885,1.00114683890346,"LUSC"
"TP53",1.00277736797292,1.23205966386325,0.217926797502039,0.998362739401418,1.00721151745065,"MESO"
"TP53",1.00029075597303,0.452463522129415,0.650935094314433,0.999031880230358,1.00155121801956,"OV"
